Citizenship,2014 Capital region July,2014 Capital region August,2014 Capital region September,2015 Capital region July,2015 Capital region August,2015 Capital region September,2016 Capital region July,2016 Capital region August,2016 Capital region September
Iceland,12980,12767,15891,11660,13265,12580,11207,12747,13673
Foreigners,151247,144892,108918,181325,177639,141264,229579,221395,186852
Denmark,6137,4840,7272,6171,4864,6102,8240,6738,6688
Sweden,8885,8018,8781,9343,9433,10382,9861,10759,11749
Norway,6191,8279,8798,4483,7125,9512,3935,5921,8825
Faroe Island,149,262,628,498,228,124,177,257,167
Greenland,77,108,250,108,300,200,60,151,153
Finland,1707,1636,3069,2140,3247,2826,1956,2556,4258
United Kingdom,17661,15102,15602,18543,20892,20295,25270,23864,25604
Ireland,180,199,167,597,373,327,455,378,1385
Germany,34454,28689,12100,41421,33135,21959,46574,43222,26287
Netherlands,3712,3214,2281,5590,3288,3454,5784,4377,3647
Belgium,1498,1018,682,1474,722,931,1785,1207,816
France,5594,5493,3149,6849,5027,3421,7121,7571,3555
Switzerland (incl. Liechtenstein),4222,3589,1720,4965,3793,1994,5182,4139,2548
Austria,2175,1737,256,2238,1698,429,1998,1716,676
Italy,3563,5034,612,4354,5636,833,5452,7110,901
Spain,4054,5435,1695,5307,6463,2221,5462,6228,2704
Estonia,611,175,271,608,102,273,152,97,165
Croatia,21,37,18,0,10,28,12,18,18
Cyprus,3,1,20,20,2,48,4,12,44
Latvia,109,61,233,53,52,34,179,144,77
Bulgaria,39,24,26,97,104,34,27,153,120
Greece,556,490,280,191,263,335,260,384,442
Portugal,447,321,136,457,258,132,346,607,154
Ukraine,55,102,1,109,101,53,184,117,46
Hungary,294,159,60,586,138,585,502,492,408
Turkey,125,100,131,197,84,119,308,70,109
Czech Republic,268,208,113,328,183,173,471,158,316
Slovenia,27,117,12,493,502,47,180,107,272
Slovakia,276,346,231,26,145,504,488,423,399
Russia,2292,2169,1139,1041,945,457,1083,1305,466
Poland,618,472,489,476,383,485,486,622,708
Malta,34,23,43,59,9,37,21,32,39
Luxembourg,131,104,82,42,120,93,104,177,83
Lithuania,105,78,101,39,37,156,211,96,57
Romania,66,268,91,61,218,102,111,285,36
Other European Countries,98,82,28,137,97,119,65,163,109
United States of America,28061,30090,25985,36830,44084,33306,63752,60054,58281
Canada,3813,3326,3016,3393,4302,3814,7070,7037,6490
Brazil,185,182,158,388,323,382,237,106,300
Other South and Central American countries,311,298,348,513,437,396,701,508,407
Japan,1342,2853,4083,1365,1489,4959,1079,3136,6296
People's Republic of China,3933,4858,1767,7324,9958,4009,8890,10692,5247
Republic of South Kora,205,243,209,582,361,143,668,615,224
India,323,436,228,606,401,357,667,561,945
Israel,1043,1697,267,1410,1424,511,1811,1108,486
Other Asian countries,4075,1311,1005,7323,3534,2428,7953,3492,2069
South Africa,72,59,44,30,94,84,36,107,83
Other African countries,163,229,130,263,146,254,147,160,225
Australia,1214,1164,988,1881,1041,1639,1906,2080,1617
New Zealand,49,86,95,306,42,101,138,65,49
Other Oceania and other territories,24,70,28,10,26,57,18,18,102
Unknown,.,.,.,.,.,.,.,.,.