Month,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11
Passenger total,184204,190292,125699,107278,93313,81805,90089,93878,116577,107482,132442,185104,225338,229319,166891,144026,117296,103770,107595,129620,156144,133751,170985,253613,291517,285785,223424,208622,176860
Iceland,39623,36835,37410,40762,32463,28089,27330,23400,32722,35874,41419,47790,44659,39889,43851,44740,35687,32913,30036,28878,40336,38876,46736,67075,55501,44226,48089,50080,45137
U.S.A.,22998,22513,15329,8498,9735,6860,9377,9039,14391,10870,20267,33589,37235,36410,27972,16122,15320,12213,14428,16339,23587,20186,32563,55510,60607,56924,45378,34756,30580
U.K.,12641,11156,9384,16249,19638,17526,21686,29250,28142,18930,10717,11539,15601,15063,12678,24200,28943,24275,27521,43123,36530,23990,15860,16189,18162,17558,16274,31205,36594
Denmark,8567,5855,5284,4450,2884,2088,2164,2318,3183,4323,4025,4267,8514,6022,4866,4962,2933,1648,2063,1761,3265,3955,4519,4560,8982,5792,5308,5362,2588
Finland,2433,1728,1692,1357,736,598,482,624,803,1342,1933,2102,1937,1947,1831,1658,781,581,498,551,1125,1300,2595,2576,2578,1933,2150,2897,905
France,10771,15083,4687,2814,2294,2034,3206,3695,3951,2938,4607,7254,12074,16193,5081,2926,2261,1636,2518,3596,4483,4170,5629,9234,14508,20844,7213,5318,3884
Netherlands,4734,4919,2241,1675,1179,910,1150,1906,1819,1105,2504,2929,5086,5592,2725,2105,1539,1086,1346,2012,2212,1680,3437,3971,5900,6596,3737,3468,2471
Italy,3825,7783,1245,643,819,538,505,502,880,809,1328,2234,4504,9063,1977,933,710,372,556,630,1110,1023,1196,3158,5439,11424,2868,1467,1560
Japan,696,1008,2117,897,1053,1298,2129,1793,1632,659,570,700,715,1098,2527,1420,1552,1752,1800,2688,2597,555,737,835,1028,1869,3059,2377,2406
Canada,5328,5534,4423,2779,2630,1431,1527,1663,2211,2427,4475,6355,7069,6946,6770,3559,2254,1398,1569,1611,2601,2540,7421,13087,12305,11955,10845,9943,5465
China,4312,4403,2022,2016,858,2853,2149,2107,1862,1690,2294,6961,7483,8101,4364,4382,1464,4786,3322,4452,3382,2005,2475,7850,8382,9938,6118,6474,2935
Norway,6698,5871,5929,5406,3276,1711,1933,2551,3135,4915,5903,5640,6053,5154,5522,6248,2945,1403,1940,2238,2996,4476,6475,5643,6276,5591,5114,5838,2804
Poland,3863,2498,1795,926,771,1964,773,599,880,958,2408,3919,4915,3645,2663,2187,1451,2681,1171,1153,1490,2055,3326,5210,6101,4525,3819,3412,2867
Russia,1501,2031,666,375,339,152,328,158,192,175,406,539,898,989,475,364,176,177,220,132,142,200,475,803,1104,1372,633,467,487
Spain,3804,7161,2609,1039,640,531,657,438,711,1442,1429,2136,5101,9007,3395,1591,743,516,782,573,1663,980,1538,2887,6882,11010,5153,2652,2423
Switzerland,5140,4742,1948,1131,764,715,1116,1118,1035,1100,1354,3038,6460,5516,2760,1665,483,290,554,949,1158,1244,1591,3213,7256,6090,2879,2508,660
Sweden,6328,5856,4251,2865,2314,1485,2027,1628,2292,3289,5181,4505,6191,5851,4513,3670,2642,1307,1738,1720,2652,3187,6069,6750,9073,7435,5791,4745,3507
Germany,18059,19330,9983,3306,2941,2052,2971,3415,5067,3722,6771,14458,20047,23236,12717,5784,3117,2079,3268,3733,6099,4318,9641,17433,25203,26872,16849,9480,5864
Other countries,22883,25986,12684,10090,7979,8970,8579,7674,11669,10914,14851,25149,30796,29597,20204,15510,12295,12657,12265,13481,18716,17011,18702,27629,36230,33831,32147,26173,23723